50 , '01010110010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:87
50 , '12020220020202020202022002020202020202200220020203' , 4 , 270 330 990 6990 , rflink:90
50 , '01010110010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:91
236 , '11111111111111111111111111111111100100100100100100100111001001001111100111111111111111111111110010010010010010011111111111111111111111111111111111110011100100100111001001111111111111111111111100111001001001001001111100111110010010010012' , 3 , 450 930 6990 , rflink:92
50 , '01100101010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:93
50 , '01100101010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:96
50 , '12210202020202020202022102020202020202210221022103' , 4 , 240 330 990 6990 , rflink:97
50 , '01100101010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:98
50 , '12210202020202020202022102020202020202210221020203' , 4 , 240 330 990 6990 , rflink:99
50 , '01100101010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:102
50 , '12210202020202020202022102020202020202210221020203' , 4 , 240 330 990 6990 , rflink:103
50 , '01010101010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:104
50 , '01010101010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:107
50 , '01010101010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:108
50 , '01010101010101010101011001010101010101100110011002' , 3 , 330 990 6990 , rflink:109
50 , '12020202020202020202022102020202020202210221020203' , 4 , 240 330 990 6990 , rflink:110
50 , '01010101010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:113
50 , '12020202020202020202022102020202020202210221020203' , 4 , 240 330 990 6990 , rflink:114
50 , '01010101010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:115
50 , '12020221020202020202022102020202020202210221020203' , 4 , 240 300 990 6990 , rflink:116
50 , '01010110010101010101011001010101010101100110010102' , 3 , 330 990 6990 , rflink:119
50 , '12020221020202020202022102020202020202210221020203' , 4 , 240 330 990 6990 , rflink:120
